Content,Label
"Perhaps because there needs to be a waterproof membrane protecting the microphone, the sound is horrible.",0
You might also want a special cover for shooting in inclement weather that lets you control the camera and keeps the water off it.Digital wallet?,1
This phone is absolutely terrible.,0
The ones in the store are PRICEY to say the least.,
"Just a slight downfall, but I wanted a larger screen.The keyboard does take a little bit getting used to.",0
We do plan on moving to someplace bigger and will hopefully be able to deal with this issue better down the road.- Picture settings.,1
"We had a 6 year old JVC LCD 42"" with an ipod dock before this one, and while it also had flashlighting issues, it looked great right out of the box, we didn't have to spend weeks setting it up, had perfect side viewing angles, the ipod dock worked great, and hadn't had any issues with it since we bought it.",2
The timer is hard to figure out.,0
"In their guts have the same processor dual-core Snapdragon S4 of ATIV S and 1GB of RAM, although in this case with less battery of three in competition.",0
"Also durable...my husband let my 6 year old take a picture (came out great, by the way!)",2
I brought them into work the next day to show people and EVERYBODY kept asking me what was the model and make of my camera.The images are crisp and clean.,2
thank you sceptre.,2
I wanted a basic no-frills TV when my old CRT died.,1
"So I called Amazon this time, the rep assured me this time they would see to it that my number is given to them.",0
"Things like the ""motion remover"", ""multi-motion capture"" and ""motion panorama"" are finicky at best, rarely used and rarely deliver usable photos.I have been a longtime fan of Fuji's upper tier bridge cameras.",2
"They do not yet have a driver available for Win 8... however, you can get one from CameraKaze that functions with Win 8.",1
this is the first hdtv i've purchased and i'm pleasantly surprised.,2
Will continue to work with it too see if it improves.,1
"Initially, and for some time afterwards, we were both thrilled with the purchase.",2
But now after two months of use it reports no service and even popping the SIM card in and out again does not resolve it.,0
That is what has basically dragged it down to the 3-4 star range.,0
And...that's it.,
It would also be nice if it would save video clips to a local drive but in fact I see no way to save video at all which is a disappointment.,0
First I really like the set and it is a great bargain!Couple of things I have noticed.1) They advertise the bezzel being super slim which it is but they did compensate for that by making the screen portion not extend all the way out to the bezel.,2
"Also, this camera goes through batteries unbelievably quickly.",2
I got down low enough to get a couple shots but it never touched the sand.,1
It was a great gift for my mother she's not every in to technology so she loved this phone.,2
"I have had a lot of experience with Sony Cybershots, but the new economy has caught up with me.",2
The processor works perfectly and as mentioned before there is pretty much no lag in switching between programs.,2
I bought a Zvox audio box and it works great with this set.,2
"Comes with an IR remote line to stick in front of your cable box, so your TV remote can control your Dish or Direct TV box - this simply did not work for me.",0
"The LCD screen is bright, and high quality.. but its smaller.. and the menu system seems cluttered and annoyingly thought out.",1
"I ended up getting my TV a on Wed, Aug 22nd, a week later than I should have.The TV is as good as all the review claims, so I enjoyed it greatly during last week, I hooked it up with an antenna and were amazed at the picture quality.",2
Why can't somebody build a camera with a reliable built-in PIR?,0
I only got it for the Camera though!!!,1
"I flip the screen out more than I thought I would, up to now it's still solid as a rock.",1
"sure next year they will cost less and a better model will come out,but keep holing out and you never enjoy 3D At home.Over all this Tv is awesome.",2
I have been very pleased and feel that the money was well spent.I was a little surprised that this camera still comes with the 16 MG card - definitely upgrade to the 512 or 1 GB card.,2
I found LG to be leading the way in new technology.,2
Amazon was fantastic about the exchange and delivered the new one inside of a week via CEVA and the delivery men assisted in the removal of the old tv off the wall and installation of the new tv.At first i regretted my purchase.,2
It is a crop sensor camera which means the lens length is longer.,1
I must say that I was overwhelmed by all of the cameras on the market and selecting one to buy.,2
"However, it is neither very wide for some indoors and architectural shots, nor fast enough for many flash-free low-light situations.",1
"Their price...and then Vizio itself started to realize something, they could make quality TV's at a low price and that's exactly what they did.",2
They are sufficient for providing the Nokia's superior FM reception and they sound better than the Nokia buds.When my cell phone contract comes up in a couple of months I will take a free phone if I can get the little Samsung ruggedized waterproof phone for when I'm camping or fishing.,2
The main thing I care about is the app view and that works well.,2
The PC version is a little more difficult to configure the audio side of things as that relies upon some third party (free plugin) for that to function.,0
"I have owned/tried a few of the newer compacts, but they don't compare to the low light/high ISO capabilities (w/o flash) of this camera!",1
"Absolutely fantastic quality all around.Unfortunately, I just can't get on board with Windows Phone (or any Windows really).",2
I have had the TV for a little over a month now and I am very happy with it.,2
"After getting a new power cord, our other power cord went out as well!",2
Remember when television channels would stop at night and all you would hear was static and see the static on the screen?,0
!,
During the second panel replacement a helpful tech had the television apart during a repair and informed me the issues I was having was unacceptable and the wiring/connectors they used were the flimsiest and cheapest he had seen.,0
I could not be happier with the Canon Powershot A620.,2
"So far, not bad.",2
"This was absolutely fantastic camera - the sliding door cover was extremely useful and rugged, user menues were very intuitive and responsive, the focus rocker was very precise.",2
It works better but still not perfectly.,1
work perfectly.,2
It would not get me through the day.,0
Maybe I am doing something wrong??,0
"I needed help from a vizio technician, which only took a few minutes, and it was up and running.",1
I really think I will hang it on a flower hangar or something out in my yard.DON'T BUY CASIO PRODUCTS!!!,0
details in pictures are awesome.,2
"Definitely a great camera for stationary tripod type use, a little less so for use on the spur of the moment until I get the multi-photo option figured out.",2
"You cannot see it when watching anything, so I decided it was not worth the hassle of sending back, along with the option of having no other tv available for this spot.Picture is good.",0
"I'll preface my review by saying I give this 5 stars for its value and not raw performance.I have always been a fan of Panasonic TV's, prior to purchasing the TC-L50EM5 I had owned two Panasonic Plasmas.",2
I could do my research and cancel the order if necessary.,
"When I first turned the set on, it was confirmed - the SOUND actually WAS LOUSY.",0
"Second, my email account sometimes has a problem updating.",0
Please save your money and get an i-pad or dell has a great new laptop that doubles as a tablet.,2
"At least my phone still seems to work and most of these wild animals can't seem to climb trees, except those",
I would of never thought it would give my vidoe camera a run for the money but that is exactly what it has done.I am really enjoying this camera and all its super easy functions that it offers.,2
I  agree that the remote is poor at best.,0
"I feel compelled to do so for this product, in an attempt to warn people of the poor quality.I agree totally with Dustin's review, as I experienced the same result.While the external product is beautiful to look at, the picture quality is horrible.",2
"If you didn't have a bad lens, you probably loved that camera.",1
"And when the General leaps a bridge in Hazard county, it seems like it's about to land in your lap.The only thing I don't like watchin' on this TV is diaper commercials and seeing a 4' baby ass settin' down on a wet spot.",1
"And with the Samsung name, you know that you're getting an excellent product.",2
"This is my review of the product that I own, how I feel about what I bought, and how THIS product has performed for ME!",2
I did after a few days of playing with it.,1
It will be interesting to see how photos appear in a vanilla S5 which Google will release.S-HEALTH:I rely and use S-Health more than any other app in my Galaxy S5.,1
I just purchased another charger.,1
I searched canon user forums and some people reported that the new XTi is slightly different than the original in terms of color and light adjustments.,1
"Since the HS10 does not support TTL, metering is manual.",1
"The 3D feature is crazy to watch, it looks like stuff is in the room with you and it feels like you are on the field when watching sports in 3D.",1
I eventually will be getting a keyboard/mouse combo.,1
She uses hers for educational apps for our grandchildren.,1
I have since dropped the carrier and use prepaid phones now.,1
Very amazing focused shots.,2
Objects have to be within 5 feet to see any details.,1
"It's usually always the same story, at least for Nokia devices.The hardware is excellent.",2
"True story.Had just purchase almost a beautiful ProBook,by MAC,we know APPLE is expensive,but so lovely and work well as i had use one or two years ago,but always oddly come back to HP~ and or ASUS,but was just about to order again purchase a APPLE last night.Then i see on the staples site this beautie,and at mi local NY NJ tri-state area STAPLES.Hence.BUY IT.",2
"Contacted Samsung and they thought something was wrong with the set.I liked the built in wifi ,the TV had very good sound from the stock speakers and the USB media player, it like having a 32""digital photo frame.",2
"the issue was resolved, but selfishly not when i wanted it to be.",1
I have no regrets.,2
Saved me the hassle but really?,0
I travel a lot for work and preferred Thinkpads because of their rock solid performance.,2
"I should have just bought the iPad, even the older version of the iPad would be better than this new HDX.",0
"outdoors or good indoor lighting) are very, very good.",2
Definitely a great purchase.,2
"For instance, I always reformat the memory card after downloading the photos (the card manufacturers recommend a 'format' rather than 'deleting' the files, as a reformat recreates the file system on the card and helps prevent corrupted data) but 'format' isn't a function that can be assigned/accessed via the methods listed above.",1
"Everyone that has used it has been very pleased or downright excited, my mother went out and bought one the next day.",2
And this was not the first or second time this has happened with Amazon Warehouse Deals.,0
the angles and view do not work.,0
"That plastic toggle switch on the back, which controls the zoom, flash and programming functions is the Fuji A340's Achille's heel.",1
Especially trying to do a search on youtube.,1
"Another ""stand out"" feature is the sub-woofer and great speakers...what a super sound out of a 29 inch frame!!!",1
Why isn't there a user account option where i can view my youtube subscriptions or favorite videos?,0
Not sure whether it's major but safer side I requested for replacement.,0
I got some awesome shots.,2
its a good phone.,2
"Needless to say, the tv was accepted for return and larger point is BUYER BEWARE with AMAZON WAREHOUSE ""so called"" Deals as the waste of time waiting for a busted up tv... was no deal!!!",0
Since tracfone came out with the Valet I combined them into one.,1
"You're basically playing the panel lottery any time you purchase a LARGE LED tv set, period.",1
Maybe you get lucky and get a set that does not have this problem.,1
"Anyway, if you upgrade to the 1 GB card, you can take lots of practice shots.",1
But there's nothing to complain about really.,2
"The lens is very good, and the features are easy to use.",2
Slave children part?,
"Suggest you look at it in person first, but we love it.Anyway, do your homework, but I feel great about this purchase.",2
It weight is also around 300gm.,1
"Even when you would use the remote's MENU button to bring up NET TV, there was no response once NET TV was chosen.",0
The wife just loves it!,2
Blank boxes appear on the home screen without their image for various app icons.,0
"Before I bought the kingle fire I thought all tablet were basically the same and I actually thought the kindle fire hd would be nothing special with it being $199, but I was wrong.It has an amazing hd screen and amazing speakers.",2
This camera did get soaked down at the cooler party called water wars.,1
Color is awesome and night viewing is surprisingly clear..,2
Camera and hardware is as seen on the website.,1
"The still shot resolutions aren't the best, but the fact you can take it into the water makes it worth the money and less quality in picture.",1
"Pros - high quality materials, well refined details (e.g.",2
By the way that was on Dec 12 and it's Jan 2 and still no TV.,0
"Never buy a ""dumb"" TV again.",0
Either the camera lens wont open or it wont close.,0
"The shutter release remote, flash, telephoto and macro lenses, screen protectors, UV filters, memory card wallet, lenses, and the camera itself have so far exceeded my expectations.The only thing I would recommend to the sellers is that instead of including 2 UV filters, add an extra $5-10 to the bundle and send the Vivitar 58mm lens filter kit with UV, Polarizer, and Fluorescent filters.",1
Easy download features.,2
I will point out it is a technical marvel and not for those intimidated by it.,2
A great product.,2
Even know the mounts all seem secure and strong I like to have my camera tethered just incase they fail in some way.,2
Memory is stable (this is application dependent).,1
forget about catching a great spontaneous moment.,0
"When we tried to take a pic the screen showed black with purple stripes across the display.I purchased a Sony at a local Best Buy, and all is well.However, Amazon has been wonderful!",1
"Purchased this to replace an older ""dumb"" TV that had failed.",0
"?Based on my reading of numerous reviews here and elsewhere, and previously noting the excessive warmth of the defective unit on my MBP, I believe the 60W L-connector supply is either a) defective in materials and/or design, or b) severely underpowered for the application.",0
"the voices are crisp and good, and cingular is the best becasue they have the only chat thing.",2
"After converting all my VHS tapes and DVD disc, i bought my first Apple TV and stored everything on the ICloud.",1
Does have good sound and HD quality.,2
That didn't work so he told me as soon as they receive it they will fix it and ship it back out within 24 hours.,1
"Poor RCA plugs plus one that got center pin broken quickly, is why I took off 2 stars.",0
"I'm relatively experienced so I used the tapping method, but that won't work in every house.",0
I'd also like to find a flatter lens so there is less fisheye distortion.,2
worth the expense.,2
"If they are going to obsess over thinness to the point of making the power supply external, it needs to have a cord on it instead of being one of these obnoxious gigantic brick plugs.With such a great picture, it's too bad they had to spoil it by completely dropping the ball in other ways.",0
I got lucky and the unit worked fine after that.Getting the unit online was a hassle.,2
"Sharp has always been known to display great reds(one reason we bought our first Sharp); however, most LED HDTVs make up the picture with red, green, and blue (ie, making up the primary color yellow without a true yellow pixel), but this HDTV has the quattron technology that allows it to display a perfect yellow, and if you look real close, you can see the pixels are made up of red, green, blue, and yellow (4 colors instead of the typical 3).8) Black is also difficult for all TVs because black is the absence of light, and TVs are trying to create a picture using light.",2
The item arrived quickly and undamaged.,2
I wanted the ease and portability of a point and shoot but wanted the features and photo quality of a larger camera.,2
"The product arrived quickly,  as stated.",2
It was so handy!,2
My daughter loves it!,2
It was running at some weird lower resolution so the screen is not full on TV.,0
"It wasn't the easiest to install, the screws were kind of hard to screw in and after everything was up, the tv wobbles real easy on the stand.",0
It was not compatible with the cell that I got.,1
This has got to be the easiest to use digital camera I have ever used.,2
I bought this camera to replace a far more expensive Panasonic outdoor security camera.,1
"Everything works perfectly, Blue-tooth on my car, wifi, mp3 player,(I'm using power amp app which is fantastic)for videos I added the MX player app which is a must to play HD videos, speaking of HD videos/pictures the camera has a flash and takes perfect pictures and the camcorder can take 1280x 720 videos!",2
").As for movie mode (which I plan to use just as much as the photo capabilities), it works fairly well.",2
This means that you must use the so-so speakers when you use the antenna or an HDMI source that doesn't have an analog audio output (including perhaps some digital cable boxes).,2
The customer support representative was awesome.,2
"It's not a terrible camera, but it has fallen considerably short of my expectations.",0
I would highly recommend this to anyone looking to purchase a tablet and you can't beat the price.,2
This phone is excellent.,2
"?I always use the screen, it makes it easy to frame the picture.",1
"(If you say ""Hulu"" it takes you to a website called Lulu.",0
"Contrary to what your parents told you about your eyes growing up, this is not health related, but rather so the MPG distortion blends at a greater distance and you don't notice it.",1
I happened to have very important things running on it that would have required program upgrades to move to a new computer with my backup files.,1
"The directions for setting up the IR blaster in the included paper owner's manual, as well as on the TV screen, were very simple to follow.",2
I gave this as a gift to a friend and he loved it and uses it continually.,2
I haven't have the phone for 2 months.,0
"I researched a number of monitored alarm systems (ADT, Vivint among them) and decided on SimpliSafe.",1
"For a very inexpensive camera, this is working great for me for keeping an eye on my vacation home.",2
Hopefully Canon will take note.,1
"Sound is oftentimes painful since it has only one mic and no wind cancellation, and the picture is usually completely grainy- In even somewhat dim lighting, pics turn out grainy, blurred, or bothI'm most disappointed with the video capture, it's almost entirely unusable due to both the abhorrent quality and the amount of space it uses (Motion-JPEG as a codec belongs in the 20th century), but the majority of my pictures give satisfy my quality standards.",1
"I am glad I got this one, however.",2
Until Kodak discontinued support!,
"Unfortunately, Hulu is the only place where the soaps are shown, except for iTunes, which looks like a much more expensive endeavor.",1
They also provide  2 x 2500 mAH batteries and a charger with camera.,2
We have the full manual and we've even called TracFone and there is no way to avoid annoying text messages or phone calls from people I don't want to hear from.,0
"I knew it was a deal for $50 but it WAS advertised as NEW IN BOX, it was battered and obviously VERY USED but yes, in box (also very used).",0
Manual is PDF and can be downloaded.6.,1
It has crazy engine to play 1080p movies with no hassle.Cons:- The remote is not really that responsive.,1
It's unnecessary for local/ single player play.,1
She spends her time on the tablet using various game apps and youtube.,1
NO SOFTWARE REQUIRED!!,1
"Be aware, if you want to use your laptop to stream video to this set, you will need a long VGA cable AND a long audio cable.",1
These cameras are SUPER.,2
"Since I bought it from one of Amazon's partners instead of Amazon directly, I cannot return or exchange it, so I'm stuck.",0
"I've never ordered a item quite this pricey online, so I was somewhat hesitant.",1
"Password, enter, then MENU BUTTON to go to the next item?",1
It was suggested along with other accessories to be purchased with the camera.,1
"I thought it was due to the heat and humidity, but the same happened under water and it was not because it leaked.",0
"Also I would recommend people avoid this delivery service, especially for large purchases.",0
"Took 400 ish pictures, many in a hurry sitting at roadside on the bike.",1
Without downloading the camera is useless and so I returned it.,0
The main image for this TV DOES NOT SHOW THIS and gives you the impression that there's no border except for the clear acrylic frame.,0
"It costs me an extra $10/month and I no longer get unlimited data, but I believe it's worth it.",
"No OS, Not pre-imaged.",0
"You can, of course, hook up a speaker system, and there is a headphone jack in the back of the TV.",1
"I've been sorely disappointed with this TV since I bought it, and Sony has lost a customer for life.",0
"So far these minor anoyances I can live with, I mean I did for last three years.The biggest problem however, is with the lens distortion.",0
For now the XPro1 is my go to camera for my style of shooting in this form factor.,1
"But it is realy heavy (heavier than anything I had before), but well worth it.",2
"One review mentioned the sound, actually it is the best built in TV sound I have heard.",2
I'm a very satisfied customer.,2
I've emailed D-Link tech support several times and they do not respond.,0
Now when we leave we set the alarm and have peace of mind.,1
"I recommend the surface to anyone, for use at home or while traveling.",2
This makes me quite relaxing.,2
Even toy digital cameras render higher quality.Very disappointed.,0
You couldn't tell this phone from new!,0
I think the old Tube tv's last way longer we had them for 20 yrs & never had a problem with the Tube Ones .,2
The D610/lens combo has allowed me to take very sharp pictures of my youngest at full speed during one of his recent soccer game.,2
"It can do smartphone things.After about a month it starts freezing and locking up and randomly restarting, but that has been my experience with all android phones.Personally I was tired of buying a new android phone literally every 3 months, so I finally got an iPhone 4s and absolutely love it.",2
Shame on HTC for charging to fix a problem they caused.,0
I have recently met a person who invested all his money in buying a T5i and a backup T4i both brand new with some basic lenses.,1
Will only be sad if it gets cheaper for black friday.,1
It fits comfortably in my hand and the processor is incredibly fast so there is no lag.,2
"One important thing--check with Tracfone to make sure that there is service in your area before buying, our town didn't have service but we were able to get a phone number in the town beside us.",1
"Reds become a faded red, etc.",1
)I get all the flexibility I want AND my techno-phobic wife can easily use it (!!!,2
"Pushing the channel button again should obviously take you to the digital one, since the analog channel would be, for example 13, and the digital one would be 13-1.",1
"Netflix, Amazon TV, iTunes and DVD's look great.",2
The Sound Volume Could Use Some work.,1
The thing that I love the most about this camera is the super awesome wide angle of view.,2
"Samsung seems to have it down, I would say that you would need to spend a LOT more money to get any real improvement in picture.",0
"The sound is merely OK. Expected that, so I connected a digital optical cable from the TV to my Denon receiver; problem solved.Setup was trivial.",1
"Most TVs that appear to have a light, washed out picture, is because the dynamic contrast ratio is very low.9) The motion is non-blur at 240Hz, but then again, I watch NFL football and tennis, and I really didn't notice much difference from our 60Hz HDTV from 2005.10) There is a really neat wallpaper mode that can display your own pictures or have really nice stock art pictures that can display one or rotate through.",1
Mounted well.,2
Amazing graphics.,2
Hope Olympus pull their act together and brings a camera worthy of its D-460 heritage.,1
I am thrilled with this original purpose and am thinking of many more ways to use this handy little system.,2
For the price it should have locking mechanism in both sides of the shoe cord.,1
"Can't beat that.-The actual 3d works very well, i ran 3d demos off from youtube (not using the smart tv app but downloaded 1080p 3d demo mp4s and have it played on my ps3) boy was i impressed.",2
"I'm not really a video geek and usually don't notice things like this, but it does bother me at times.",0
"It is a 7"" versus a 10"" pad.",1
Here's a summary of my impressions.Pros:-the TV is very light and thin and the picture quality is excellent-TV can play files from an external hard drive or from a USB flash drive.,2
"I love the point an shoot cameras made by Sony mainly because of the Professional Carl Zeiss Vario-Tessar lens, that makes a huge difference when you compare this camera to a similar price camera from another manufacturer, in my opinion the picture quality of this camera is far superior then HP, Canon, Olympus, or Nikon.Sony include the new ultra fast BIONZ processor in all their new cameras, this is a big deal when you take high resolution pictures and want your camera to be ready to shoot the next in no time at all.There's a lot of things I love about this camera like: the animated graphical menus, cool metal exterior finish, big display, slide show with or without music, extended battery life, high sensitivity of ISO 3200, Super SteadyShot, and Convenient Photo Modes among others.The Smile Shutter Mode does work but its a bit tricky when you try to use it on several subjects since you have to detect everyone faces for the Smile Shutter to work properly and this is not as easy as it sounds.Overall I recommend this camera to everyone who likes a small size point an shoot, easy to use, that can take great quality pictures without spending too much money.",2
I purchased mine with the sole intent on conducting business (Real Estate) and having the portability to place it in my briefcase without breaking my shoulder!,1
I always shake too much to get good shots but the image stabilization seems to work very well at full zoom.We also used this camera for the family pictures during Christmas and the timer function is pretty cool.,2
But I got a T-Mobile Galaxy S2 and its not even a new one.,1
"Prior to the upgrade, Hulu Plus was working fine as was the web browser.",0
"Upon turning it on, we saw that it was completely broken.",0
Easy to use and comes with numerous capabilities.,2
"Good job, Olympus!",2
I can't wait to use it on the snow.,1
this is absolutely the best laptop that I used since my last acers.,2
"Today, after searching for a reset feature, I found that this is a common problem.",0
The only one flaw that I find significant is the difficulty in making the various settings.,0
"I think with these rebuilds (or actually I think this one was even advertised as new), you get the luck of the draw.",1
I am disgusted at apple after being ripped off by this macbook pro.Soon after receiving this trash I found out I could have gotten a vastly superior ASUS laptop for less than this.,0
"But others, including elderly viewers, may have problems with the matter, since the keys on the keyboard side of the remote are very small.",0
"Here is my situation... in addition to the basic communication functions, I expect my phone to keep my calendar, in sync with my MS Outlook (which also syncs with Google Calendar).",1
"They seem to have a good reputation so I decided to go with their 47"" smart TV.",2
"No idea on what that means for gamers, there's a discussion on amazon about this, consensus seems to be that 120hz is not better than 60hz.SOUND: Yeah, not so hot.",1
The picture quality is great!,2
The size of the display allows capture in low light for us vision challenged[ if you saw it you got it].,1
A great TV for a great price!,2
I really like this camera.,2
"After I described the issue and my troubleshooting so far, she set me up with their service department and they're sending someone to my house to fix it free of charge.",2
"DO NOT WAIT.great price as this machine clearly is worth 2x i paid for it today,being a student of law,and a avid writer,legal to songwriting it is amazing,how everything just looks on mi huge nice big screen,and new hp.i ADORE it all and trust me, you guys... Do not fret over WINDOWS 8!",2
LG CT810 is an economical alternative among smart phones.,2
No directions and I purcased the refurbashed model becouse it stated it had a one year in home warrenty I would like this in some type of writing they sent no pappers with it and hope amazon would look into this so i feel like i get what i am told as I love shopping on amazon hope for feedback thank you I provided my number....,2
"I can take hand held pictures of documents and drivers licenses, and they come out clear and printable.",2
Simple and cheap enough for what i needed it for.,2
"This is not covered by samsung, and if it happens to you, you will be denid by there warranty department!",0
In the short time that I have owned the camera I have found it meets my needs and mostly exceeds my expectations.No camera is truly automatic and can magically create a good photograph if conditions are poor.,2
"Good night The camera is bad, does not take pictures with flash, when I try to take them off the camera.",0
I also had issues with memory usage.,0
We live in a townhouse right adjacent to the street.,1
"It can be upgraded to Android 4.4, has great specs and it only costs 200$ this is in my opinion the best Android phone right now except maybe for nexus 5, if you are worried for the 16GB of storage then you can get 50GB free of google drive (too bad it is just for 2 years) the display is nice, the camera is good for the price but the rest of the phone is awesome i honestly have no regrets buying it.",2
"Well needless to say i couldnt activate it through boost haha, and even though it has been a very long time I received both a phone call and an email from this company wanting to correct the issue.",1
So I ran on v1001 for a while.,1
The front of the hand grip area of my camera is now slightly pushing out.,0
I've been using it for 3 weeks now and it still works as it did when it came out of the box.,2
Highly recommended for the discriminating viewer on a budget.,2
Ive given you the calibration settings so use the money you would've spent on calibration and buy a reciever.,0
"EDIT: You can read my initial impressions review below, but in the end, the SmartHub was such a disappointment (buggy, crashy, web browser was simply awful) I returned the TV.",0
There are thousands of bad apps for every good one.,1
I felt restricted by film costs (and environmental impact) and the limits of the ELF.,0
